trail_id,trail_name,park_name,location,difficulty,distance_km,estimated_time_hours,elevation_gain_m,rating,scenery_types,facilities,trail_type,description,alltrails_url
BC_001,Stanley Park Seawall,Stanley Park,"Vancouver, BC",Easy,8.9,2.5,50,4.5,"Ocean views, City skyline, Parks","Restrooms, Parking, Food vendors",Loop,"A paved pathway around Stanley Park offering stunning ocean and city views. Perfect for walking, jogging, or cycling.",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-seawall
BC_002,Coal Harbour Via Stanley Park Seawall,Stanley Park,"Vancouver, BC",Easy,6.2,1.8,30,4.4,"Ocean views, City skyline","Restrooms, Parking",Out & Back,"A scenic walk along the waterfront from Coal Harbour through Stanley Park with views of the harbor and North Shore mountains.",https://www.alltrails.com/trail/canada/british-columbia/coal-harbour-via-stanley-park-seawall
BC_003,Stanley Park Inner Loop,Stanley Park,"Vancouver, BC",Easy,5.5,1.5,45,4.2,"Forest, Parks","Restrooms, Parking",Loop,"An interior loop trail through Stanley Park's forested areas, offering a peaceful escape from the busy seawall.",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-inner-loop
BC_004,Sunset Beach to Second Beach,Stanley Park,"Vancouver, BC",Easy,2.1,0.7,10,4.3,"Ocean views, Beach","Restrooms, Parking",Out & Back,"A short coastal walk connecting two popular beaches in Stanley Park with beautiful sunset views.",https://www.alltrails.com/trail/canada/british-columbia/sunset-beach-to-second-beach
BC_005,Beaver Lake Loop,Stanley Park,"Vancouver, BC",Easy,1.8,0.5,15,4.1,"Lake, Forest","Restrooms, Parking",Loop,"A peaceful loop around Beaver Lake in Stanley Park, perfect for bird watching and nature photography.",https://www.alltrails.com/trail/canada/british-columbia/beaver-lake-loop
BC_006,Lost Lagoon Loop,Stanley Park,"Vancouver, BC",Easy,1.2,0.3,5,4.0,"Lake, City skyline","Restrooms, Parking",Loop,"A short loop around Lost Lagoon with views of the city skyline and opportunities for bird watching.",https://www.alltrails.com/trail/canada/british-columbia/lost-lagoon-loop
BC_007,Queen Elizabeth Park Circuit,Queen Elizabeth Park,"Vancouver, BC",Easy,2.8,1.0,75,4.2,"City views, Gardens","Restrooms, Parking, Cafe",Loop,"A circuit through Queen Elizabeth Park featuring beautiful gardens, city views, and the iconic Bloedel Conservatory.",https://www.alltrails.com/trail/canada/british-columbia/queen-elizabeth-park-circuit
BC_008,VanDusen Botanical Garden,VanDusen Botanical Garden,"Vancouver, BC",Easy,3.2,1.5,20,4.4,"Gardens, Lake","Restrooms, Parking, Cafe",Loop,"A leisurely walk through one of Vancouver's premier botanical gardens featuring diverse plant collections and peaceful paths.",https://www.alltrails.com/trail/canada/british-columbia/vandusen-botanical-garden
BC_009,Spanish Banks Beach Walk,Spanish Banks,"Vancouver, BC",Easy,4.5,1.2,5,4.1,"Beach, Ocean views","Restrooms, Parking",Out & Back,"A flat beach walk along Spanish Banks with views of English Bay and the North Shore mountains.",https://www.alltrails.com/trail/canada/british-columbia/spanish-banks-beach-walk
BC_010,Jericho Beach to Kitsilano Beach,Jericho Beach,"Vancouver, BC",Easy,3.7,1.0,10,4.0,"Beach, Ocean views","Restrooms, Parking",Out & Back,"A coastal walk connecting two popular Vancouver beaches with views of English Bay and downtown skyline.",https://www.alltrails.com/trail/canada/british-columbia/jericho-beach-to-kitsilano-beach
BC_011,UBC Endowment Lands,UBC Endowment Lands,"Vancouver, BC",Easy,4.8,1.5,60,4.3,"Forest, Creek","Parking",Loop,"A network of trails through second-growth forest near UBC campus, offering peaceful forest walks and creek views.",https://www.alltrails.com/trail/canada/british-columbia/ubc-endowment-lands
